Original,Character,Dialogue,Wordcount
"Libertus:You're dumber than me sometimes, you know that? Don't you get it? Lucis killed Crowe. Go back to the castle! Tell the king there's no peace to be had from throwing the weak to the wolves. I'll fight my own fight from here on out. See you around, hero.",Libertus," You're dumber than me sometimes, you know that? Don't you get it? Lucis killed Crowe. Go back to the castle! Tell the king there's no peace to be had from throwing the weak to the wolves. I'll fight my own fight from here on out. See you around, hero.",49
Nyx:(memory)A hairpin? I didn't think you were into that kind of thing.,Nyx, (memory) A hairpin? I didn't think you were into that kind of thing.,12
Crowe:(memory)It's not for me. It's a gift for the princess.,Crowe, (memory) It's not for me. It's a gift for the princess.,10
"Emperor Aldercapt:A most grand reception, King Regis. You honor all of Niflheim.",Emperor Aldercapt," A most grand reception, King Regis. You honor all of Niflheim.",11
"King Regis:Oh, the honor is ours, Emperor Aldercapt. You have ventured far to grace us with your presence.",King Regis," Oh, the honor is ours, Emperor Aldercapt. You have ventured far to grace us with your presence.",17
Emperor Aldercapt:It was the very least I could do. Tomorrow will be an historic day for both our nations. And your Insomnia is truly a marvel. My own cities pale in comparison. I pray we are able to take away much...from this visit.,Emperor Aldercapt, It was the very least I could do. Tomorrow will be an historic day for both our nations. And your Insomnia is truly a marvel. My own cities pale in comparison. I pray we are able to take away much...from this visit.,42
Lunafreya:Hello. I'm afraid we were never properly introduced yesterday.,Lunafreya, Hello. I'm afraid we were never properly introduced yesterday.,9
"Nyx:I'm afraid it's going to have to wait, Your Highness. I'm on guard duty.",Nyx," I'm afraid it's going to have to wait, Your Highness. I'm on guard duty.",14
Lunafreya:Then surely there's no safer place for me to be. May I ask your name?,Lunafreya, Then surely there's no safer place for me to be. May I ask your name?,15
"Nyx:Uh, Nyx. Nyx Ulric.",Nyx," Uh, Nyx. Nyx Ulric.",4
"Lunafreya:There is something else I wish to ask you, Nyx Ulric. King Regis said he sent one of your order to come find me. I should like to offer my thanks in person. Where might I find this brave soldier?",Lunafreya," There is something else I wish to ask you, Nyx Ulric. King Regis said he sent one of your order to come find me. I should like to offer my thanks in person. Where might I find this brave soldier?",40
"Lunafreya:Oh. Oh, I did not--I am so sorry.",Lunafreya," Oh. Oh, I did not--I am so sorry.",8
Nyx:Don't be.,Nyx, Don't be.,2
Nyx:Here. She was carrying this. It was meant for you.,Nyx, Here. She was carrying this. It was meant for you.,10
Lunafreya:For me?,Lunafreya, For me?,2
Nyx:Keep it. She would've wanted you to have it.,Nyx, Keep it. She would've wanted you to have it.,9
Lunafreya:I will carry it with me always. Thank you.,Lunafreya, I will carry it with me always. Thank you.,9
Pruvia:Do you have any idea what this peace means? It means our homes are gone. All of them. Forever.,Pruvia, Do you have any idea what this peace means? It means our homes are gone. All of them. Forever.,19
Libertus:Heard I could find some treaty haters here. I come to the right place?,Libertus, Heard I could find some treaty haters here. I come to the right place?,14
Pruvia:You certainly have. Everyone say hello to a man who spends his days in the loyal service of our good king.,Pruvia, You certainly have. Everyone say hello to a man who spends his days in the loyal service of our good king.,21
"Libertus:""Spent."" Those days are over. I'm done listening to that bastard's lies. He may sit on a throne, but he ain't no king, least not of mine.",Libertus," ""Spent."" Those days are over. I'm done listening to that bastard's lies. He may sit on a throne, but he ain't no king, least not of mine.",27
"Pruvia:Well, then. Welcome to the resistance, brother. I hope you're here to talk.",Pruvia," Well, then. Welcome to the resistance, brother. I hope you're here to talk.",13
Libertus:What do you wanna know?,Libertus, What do you wanna know?,5
"Lunafreya:Please, wherever Noctis is, keep him safe. That's all I ask.",Lunafreya," Please, wherever Noctis is, keep him safe. That's all I ask.",11
"General Glauca:To what god do you pray? You, the slave of fate and destiny. Abandon your prayers - the gods do not listen.",General Glauca," To what god do you pray? You, the slave of fate and destiny. Abandon your prayers - the gods do not listen.",22
Lunafreya:General Glauca. Why are you here?,Lunafreya, General Glauca. Why are you here?,6
General Glauca:You are far too clever to have ever believed in this peace. Pity you couldn't see your beloved Noctis. You have another purpose.,General Glauca, You are far too clever to have ever believed in this peace. Pity you couldn't see your beloved Noctis. You have another purpose.,23
Lunafreya:I'm not here for Niflheim.,Lunafreya, I'm not here for Niflheim.,5
General Glauca:No. You are here for me.,General Glauca, No. You are here for me.,6
Lunafreya:You? I do not understand.,Lunafreya, You? I do not understand.,5
"General Glauca:Come tomorrow, you will.",General Glauca," Come tomorrow, you will.",4
Man:(over intercom)Niflheim contingent has left the hotel. Less than three hours until the ceremony. Bolster the Citadel guard.,Man, (over intercom) Niflheim contingent has left the hotel. Less than three hours until the ceremony. Bolster the Citadel guard.,18
"Pelna:(over radio)Nyx, is the princess with you?",Pelna," (over radio) Nyx, is the princess with you?",7
"Nyx:No, I'm on duty at the Citadel.",Nyx," No, I'm on duty at the Citadel.",7
"Pelna:(over radio)Well, the Niffs just left for the ceremony, and she wasn't with them.",Pelna," (over radio) Well, the Niffs just left for the ceremony, and she wasn't with them.",14
Pelna:(over radio)A homing beacon?,Pelna, (over radio) A homing beacon?,4
"Nyx:Yeah, I'll send the coordinates now. Can you pinpoint a location for me?",Nyx," Yeah, I'll send the coordinates now. Can you pinpoint a location for me?",13
"Pelna:(over radio)Sure, but it sounds like a wild-goose chase. Guess you got some free time on your hands, huh?",Pelna," (over radio) Sure, but it sounds like a wild-goose chase. Guess you got some free time on your hands, huh?",19
"Nyx:Guess I do, for better or worse.",Nyx," Guess I do, for better or worse.",7
Pelna:(over radio)Those coordinates are about twenty miles south of Insomnia.,Pelna, (over radio) Those coordinates are about twenty miles south of Insomnia.,10
Nyx:Outside the Wall.,Nyx, Outside the Wall.,3
Pelna:(over radio)What the hell was Crowe doing all the way out there?,Pelna, (over radio) What the hell was Crowe doing all the way out there?,12
"Nyx:No, no. They sent her to-- I need another favor, Pelna. Pull those coordinates up on the radar and let me know what you find.",Nyx," No, no. They sent her to-- I need another favor, Pelna. Pull those coordinates up on the radar and let me know what you find.",25
"Pelna:(over radio)On it. You're thinking this is all a big deal now, huh?",Pelna," (over radio) On it. You're thinking this is all a big deal now, huh?",13
"Nyx:Yeah, too big to ignore.",Nyx," Yeah, too big to ignore.",5
"Guard 1:(cross-talk)Whoa, whoa, whoa, whoa! Excuse me, sir. Excuse me!",Guard 1," (cross-talk) Whoa, whoa, whoa, whoa! Excuse me, sir. Excuse me!",9
"Guard 2:(cross-talk)Hey, hey, hey!",Guard 2," (cross-talk) Hey, hey, hey!",3
"Guard 3:(cross-talk)Whoa, wait a minute! Stop right there!",Guard 3," (cross-talk) Whoa, wait a minute! Stop right there!",7
"Petra:Listen up. This is not the gate watch. This is the heart of our city, the home of our king. The ceremony must not be disturbed. Neutralize any threat quickly and quietly. Is that understood?",Petra," Listen up. This is not the gate watch. This is the heart of our city, the home of our king. The ceremony must not be disturbed. Neutralize any threat quickly and quietly. Is that understood?",35
"Crownsguard:(together)Yes, sir!",Crownsguard," (together) Yes, sir!",2
"Nyx:Glaive to command. Are you there, captain? Urgent. Damn it, Drautos!",Nyx," Glaive to command. Are you there, captain? Urgent. Damn it, Drautos!",11
"Pelna:(over radio)Jackpot, Nyx. There's a whole fleet of airships sitting at that spot.",Pelna," (over radio) Jackpot, Nyx. There's a whole fleet of airships sitting at that spot.",13
"Pelna:(over radio)Yup, and, from the looks of it, I'd say they're headed to war.",Pelna," (over radio) Yup, and, from the looks of it, I'd say they're headed to war.",14
Nyx:Where's the captain?,Nyx, Where's the captain?,3
Pelna:(over radio)Should be at the Citadel.,Pelna, (over radio) Should be at the Citadel.,6
Nyx:There's no answer on his frequency.,Nyx, There's no answer on his frequency.,6
"Pelna:(over radio)I don't know, must have his hands full with the escort detail.",Pelna," (over radio) I don't know, must have his hands full with the escort detail.",13
"Nyx:Pelna, one last favor. I need you to prep the Glaive for action.",Nyx," Pelna, one last favor. I need you to prep the Glaive for action.",13
Pelna:(over radio)What- what are you talking about? You wanna deploy without the captain's order?,Pelna, (over radio) What- what are you talking about? You wanna deploy without the captain's order?,14
Nyx:Trust me. Just get it done.,Nyx, Trust me. Just get it done.,6
"Pelna:(over radio)Wait, what am I supposed to tell--?",Pelna," (over radio) Wait, what am I supposed to tell--?",8
"Crownsguard:Stand down, Glaive.",Crownsguard," Stand down, Glaive.",3
Clarus:The ceremony is in less than two hours. We must make ready.,Clarus, The ceremony is in less than two hours. We must make ready.,12
King Regis:Very well.,King Regis, Very well.,2
"Messenger:Your Majesty. A man of the Kingsglaive is here, sire. He demands an audience.",Messenger," Your Majesty. A man of the Kingsglaive is here, sire. He demands an audience.",14
"Nyx:Your Majesty, please.",Nyx," Your Majesty, please.",3
Nyx:Give the order to deploy the Glaive.,Nyx, Give the order to deploy the Glaive.,7
Nyx:A Niflheim fleet makes ready for war twenty miles to the south.,Nyx, A Niflheim fleet makes ready for war twenty miles to the south.,12
Clarus:An imperial fleet.,Clarus, An imperial fleet.,3
Nyx:And they have the princess.,Nyx, And they have the princess.,5
"King Regis:Clarus, post guards outside the treaty room.",King Regis," Clarus, post guards outside the treaty room.",7
Clarus:It will be seen as a lack of faith in the peace.,Clarus, It will be seen as a lack of faith in the peace.,12
King Regis:Which we all harbor. See it done. We may well have to take Emperor Aldercapt into custody.,King Regis, Which we all harbor. See it done. We may well have to take Emperor Aldercapt into custody.,17
Clarus:Detain him? That would go beyond a new declaration of war.,Clarus, Detain him? That would go beyond a new declaration of war.,11
"King Regis:We are still at war, Clarus. And you, Nyx Ulric. How soon can the Kingsglaive deploy?",King Regis," We are still at war, Clarus. And you, Nyx Ulric. How soon can the Kingsglaive deploy?",16
"Nyx:On your word, at once.",Nyx," On your word, at once.",5
"King Regis:Go, then! Save Luna.",King Regis," Go, then! Save Luna.",4
Glaive:What if this is a diversion?,Glaive, What if this is a diversion?,6
"Nyx:Not likely. Tenebrae's princess is on board. We've got two jobs: save her, and stop those Niff ships from flying on Insomnia.",Nyx," Not likely. Tenebrae's princess is on board. We've got two jobs save her, and stop those Niff ships from flying on Insomnia.",22
"Luche:We go in teams. Standard infiltrate and extract. Nyx, you command. We'll follow. The Glaive stands together, captain or no. For hearth.",Luche," We go in teams. Standard infiltrate and extract. Nyx, you command. We'll follow. The Glaive stands together, captain or no. For hearth.",22
Kingsglaive:(together)And home!,Kingsglaive, (together) And home!,2
News Anchor:(on TV)We are less than twenty minutes away from the signing of this historic treaty.,News Anchor, (on TV) We are less than twenty minutes away from the signing of this historic treaty.,15
"Captain Drautos:(over radio)I received word of the king's order to deploy. I'll see to matters in the city. You have your mission, and it won't be easy. The objective is two-fold: secure the hostage, and stay the enemy advance. Just be careful. One Glaive already died for this princess. Niflheim won't give her up easily.",Captain Drautos," (over radio) I received word of the king's order to deploy. I'll see to matters in the city. You have your mission, and it won't be easy. The objective is two-fold secure the hostage, and stay the enemy advance. Just be careful. One Glaive already died for this princess. Niflheim won't give her up easily.",54
Nyx:(over radio)Team two.,Nyx, (over radio) Team two.,3
"Pelna:(over radio)Oh, man. Hurry up, Nyx!",Pelna," (over radio) Oh, man. Hurry up, Nyx!",6
Pelna:Over here!,Pelna, Over here!,2
Nyx:(into earpiece)Preparing to head below deck.,Nyx, (into earpiece) Preparing to head below deck.,6
Captain Drautos:(over radio)Do not engage the enemy until instructed. The ceremony is underway. Let's wait and see how Niflheim plays this.,Captain Drautos, (over radio) Do not engage the enemy until instructed. The ceremony is underway. Let's wait and see how Niflheim plays this.,20
"Man:The Kingsglaive have infiltrated the ships, so everything's going according to plan.",Man," The Kingsglaive have infiltrated the ships, so everything's going according to plan.",12
Nyx:Ulric reporting. Six Niflheim airships confirmed inbound for Insomnia.,Nyx, Ulric reporting. Six Niflheim airships confirmed inbound for Insomnia.,9
"Pelna:(into earpiece)Nyx, this doesn't feel like a war fleet.",Pelna," (into earpiece) Nyx, this doesn't feel like a war fleet.",9
Pelna:(into earpiece)I think I might've found her. I got a guarded door here. Two Niff MTs. What's the plan?,Pelna, (into earpiece) I think I might've found her. I got a guarded door here. Two Niff MTs. What's the plan?,19
Nyx:(into earpiece)Hold position.(to Drautos)Arrived at destination. High possibility of target in the vicinity.,Nyx, (into earpiece) Hold position. (to Drautos) Arrived at destination. High possibility of target in the vicinity.,13
Captain Drautos:(over radio)Proceed to secure.,Captain Drautos, (over radio) Proceed to secure.,4
Nyx:(into earpiece)It's going to mean a fight.,Nyx, (into earpiece) It's going to mean a fight.,7
Captain Drautos:(over radio)Keep it quiet and keep it confined.,Captain Drautos, (over radio) Keep it quiet and keep it confined.,8
"Nyx:(into earpiece)Pelna, you're clear to engage, but keep it quiet. I'm on my way.",Nyx," (into earpiece) Pelna, you're clear to engage, but keep it quiet. I'm on my way.",14
King Regis:Forgive my delay. A bit of unforeseen trouble.,King Regis, Forgive my delay. A bit of unforeseen trouble.,8
"Emperor Aldercapt:Nothing too vexing, I hope.",Emperor Aldercapt," Nothing too vexing, I hope.",5
"King Regis:A simple theft, nothing more.",King Regis," A simple theft, nothing more.",5
"Emperor Aldercapt:A daring thief, to steal from the king. Perhaps magical walls and castle gates do not keep all things safe.",Emperor Aldercapt," A daring thief, to steal from the king. Perhaps magical walls and castle gates do not keep all things safe.",20
King Regis:Perhaps. But no matter. That which was taken will soon be returned.,King Regis, Perhaps. But no matter. That which was taken will soon be returned.,12
Emperor Aldercapt:Impressive. You are a paragon of kingly composure. But I must ask: how can you be so sure?,Emperor Aldercapt, Impressive. You are a paragon of kingly composure. But I must ask how can you be so sure?,18
King Regis:Because this thing is no mere trinket. It possesses a will all its own. Enough to break any thief's grasp.,King Regis, Because this thing is no mere trinket. It possesses a will all its own. Enough to break any thief's grasp.,20
Emperor Aldercapt:Hm. That sounds a very fine prize indeed...,Emperor Aldercapt, Hm. That sounds a very fine prize indeed...,8
"Pelna:Not now, damn it.",Pelna," Not now, damn it.",4
"Pelna:For me? Aw, you shouldn't have.(into earpiece)Target confirmed. She's unharmed.",Pelna," For me? Aw, you shouldn't have. (into earpiece) Target confirmed. She's unharmed.",10
"Clarus:The Glaives have recovered the princess, Your Majesty.",Clarus," The Glaives have recovered the princess, Your Majesty.",8
Emperor Aldercapt:Have you found your thief?,Emperor Aldercapt, Have you found your thief?,5
King Regis:We have. And what was stolen remains intact.,King Regis, We have. And what was stolen remains intact.,8
Emperor Aldercapt:Joyous news. I am relieved to hear it.,Emperor Aldercapt, Joyous news. I am relieved to hear it.,8
"King Regis:Tell me, how heavy a sentence does the crime of theft carry in your Empire?",King Regis," Tell me, how heavy a sentence does the crime of theft carry in your Empire?",15
Emperor Aldercapt:Among the heaviest. Although there is one exception.,Emperor Aldercapt, Among the heaviest. Although there is one exception.,8
Luche:Things are about to get ugly over here.,Luche, Things are about to get ugly over here.,8
"Nyx:Pelna, get out of there! It's a trap!",Nyx," Pelna, get out of there! It's a trap!",8
King Regis:What is that?,King Regis, What is that?,3
Emperor Aldercapt:A curious old law I still permit in the outlands: a thief who escapes his captor can no longer be held to account for his crime.,Emperor Aldercapt, A curious old law I still permit in the outlands a thief who escapes his captor can no longer be held to account for his crime.,26
"King Regis:A warning to the victim? ""Never show weakness, lest you forgo the hand of justice.""",King Regis," A warning to the victim? ""Never show weakness, lest you forgo the hand of justice.""",15
"Emperor Aldercapt:Oh, no, good king. Far from it.",Emperor Aldercapt," Oh, no, good king. Far from it.",7
News Anchor:(on TV)The treaty is now on the table. The countdown begins to this historical moment.,News Anchor, (on TV) The treaty is now on the table. The countdown begins to this historical moment.,15
Emperor Aldercapt:It is a warning to the hand of justice itself never to loose its grip.,Emperor Aldercapt, It is a warning to the hand of justice itself never to loose its grip.,15
"Petra:Unit one, secure the perimeter. Unit two, stand your ground!",Petra," Unit one, secure the perimeter. Unit two, stand your ground!",10
"Pelna:One Tenebrae princess, safe and--",Pelna," One Tenebrae princess, safe and--",5
Nyx:Come on!,Nyx, Come on!,2
Petra: The Crystal! They're after the Crystal!,Petra,The Crystal! They're after the Crystal!,7
Glaive:There's something going on below deck. The ship's not going to make it to Insom--,Glaive, There's something going on below deck. The ship's not going to make it to Insom--,15
Nyx:What's going on?,Nyx, What's going on?,3
Captain Drautos:(over radio)Insomnia is under attack.,Captain Drautos, (over radio) Insomnia is under attack.,5
Nyx:Who brought you here?,Nyx, Who brought you here?,4
Lunafreya:General Glauca.,Lunafreya, General Glauca.,2
Nyx:You were bait. Us coming here was all part of their plan.,Nyx, You were bait. Us coming here was all part of their plan.,12
Nyx:Target secured. Request permission to withdraw.,Nyx, Target secured. Request permission to withdraw.,6
Captain Drautos:(over radio)Granted. Get to--,Captain Drautos, (over radio) Granted. Get to--,4
King Regis:The Crystal will not serve you.,King Regis, The Crystal will not serve you.,6
Emperor Aldercapt:Nor you once I take it from this accursed city.,Emperor Aldercapt, Nor you once I take it from this accursed city.,10
Ravus:(to himself)It's not the Crystal I'm here for.,Ravus, (to himself) It's not the Crystal I'm here for.,8
Lunafreya:The Wall. It's gone.,Lunafreya, The Wall. It's gone.,4
"Nyx:Fall back, it's a trap!",Nyx," Fall back, it's a trap!",5
Nyx:What the hell is going on?,Nyx, What the hell is going on?,6
Glaive 2:What's got into you?,Glaive 2, What's got into you?,4
"Clarus:Come, we must escape while we can.",Clarus," Come, we must escape while we can.",7
"King Regis:No, Clarus. I fear escape is no longer an option.",King Regis," No, Clarus. I fear escape is no longer an option.",10
King Regis:General Glauca.,King Regis, General Glauca.,2
Nyx:Can you make it up? Can you stand?,Nyx, Can you make it up? Can you stand?,8
Nyx:What are you doing? You gotta be kidding me.,Nyx, What are you doing? You gotta be kidding me.,9
Nyx:They teach piloting back at the royal academy? Give me that.,Nyx, They teach piloting back at the royal academy? Give me that.,11
"Clarus:It's been a long time since I fought at your side, old friend.",Clarus," It's been a long time since I fought at your side, old friend.",13
"King Regis:Yes, but this time it is not your fight. If you wish to leave, go now.",King Regis," Yes, but this time it is not your fight. If you wish to leave, go now.",16
"Clarus:And abandon my king? I think not. Besides, our magic is bound to you. If you fall, Lucis falls.",Clarus," And abandon my king? I think not. Besides, our magic is bound to you. If you fall, Lucis falls.",19
"King Regis:Then let us once more into the fray, old friend.",King Regis," Then let us once more into the fray, old friend.",10
Lunafreya:You must take me back to King Regis.,Lunafreya, You must take me back to King Regis.,8
Nyx:Are you out of your mind? Insomnia's a war zone.,Nyx, Are you out of your mind? Insomnia's a war zone.,10
Lunafreya:I have a duty. I cannot neglect it.,Lunafreya, I have a duty. I cannot neglect it.,8
"Nyx:Yeah, I heard all that before.",Nyx," Yeah, I heard all that before.",6
Lunafreya:Then you know we must hurry.,Lunafreya, Then you know we must hurry.,6
Nyx:Hurry to do what? Get yourself killed?,Nyx, Hurry to do what? Get yourself killed?,7
Lunafreya:I do not fear death.,Lunafreya, I do not fear death.,5
"Nyx:Oh, enough with all this brave princess act! Just pray this thing will make the trip.",Nyx," Oh, enough with all this brave princess act! Just pray this thing will make the trip.",16
"Chancellor Izunia:Well, I daresay everything has proceeded according to plan. No?",Chancellor Izunia," Well, I daresay everything has proceeded according to plan. No?",10
Emperor Aldercapt:So it has. We have broken the Wall. All that remains is to break the city.,Emperor Aldercapt, So it has. We have broken the Wall. All that remains is to break the city.,16
"Chancellor Izunia:Shall we take our leave, then? The sun will soon set. We need not be here to witness the terrors of the night.",Chancellor Izunia," Shall we take our leave, then? The sun will soon set. We need not be here to witness the terrors of the night.",23
Lunafreya:The Crystal.(to Nyx)You're going too fast. We have to land.,Lunafreya, The Crystal. (to Nyx) You're going too fast. We have to land.,10
"Nyx:Yeah, you're gonna have to give me a minute on that.",Nyx," Yeah, you're gonna have to give me a minute on that.",11
Lunafreya:There is no time. I will go on my own.,Lunafreya, There is no time. I will go on my own.,10
Nyx:What? You got wings underneath that dress? You can't use magic.,Nyx, What? You got wings underneath that dress? You can't use magic.,11
Lunafreya:Not all miracles are made by magic. I do not fear death. What I fear is doing nothing and losing everything.,Lunafreya, Not all miracles are made by magic. I do not fear death. What I fear is doing nothing and losing everything.,21
"Nyx:Oh, come on!",Nyx," Oh, come on!",3
"Nyx:You can thank magic for that miracle, Your Highness.",Nyx," You can thank magic for that miracle, Your Highness.",9
Pruvia:The reckoning is at hand. Dawn of a new age.,Pruvia, The reckoning is at hand. Dawn of a new age.,10
King Regis:You have the Crystal. What more would you take from me?,King Regis, You have the Crystal. What more would you take from me?,11
"Ravus:The Ring of the Lucii. I lost my mother, my country, my birthright. Niflheim was the only life left to me. But all of that was for this. The Ring belongs to me now.",Ravus," The Ring of the Lucii. I lost my mother, my country, my birthright. Niflheim was the only life left to me. But all of that was for this. The Ring belongs to me now.",34
"Ravus:Hear me, Lucian kings of old, for I am Ravus Nox Fleuret, and none is more worthy of your power than I!",Ravus," Hear me, Lucian kings of old, for I am Ravus Nox Fleuret, and none is more worthy of your power than I!",22
Lunafreya:Look out!,Lunafreya, Look out!,2
"King Regis:Quickly, through here.",King Regis," Quickly, through here.",3
Lunafreya:Your Majesty.,Lunafreya, Your Majesty.,2
Nyx:You knew this was coming--,Nyx, You knew this was coming--,5
Lunafreya:Yes. But it was the only way to draw their wrath from Noctis.,Lunafreya, Yes. But it was the only way to draw their wrath from Noctis.,13
Nyx:Is that the way of our king? Sacrifice Lucian sons to save his own?,Nyx, Is that the way of our king? Sacrifice Lucian sons to save his own?,14
Lunafreya:To save the world.,Lunafreya, To save the world.,4
"King Regis:See Luna safely to Altissia. This is not an order from a king to his Glaive. This is a plea from one man to another. Please, Nyx Ulric, keep her safe. For the future of all.",King Regis," See Luna safely to Altissia. This is not an order from a king to his Glaive. This is a plea from one man to another. Please, Nyx Ulric, keep her safe. For the future of all.",36
Nyx:The future?,Nyx, The future?,2
"King Regis:Here, take this. It is time it passed to another's keeping.",King Regis," Here, take this. It is time it passed to another's keeping.",11
"Lunafreya:No, please. Stop!",Lunafreya," No, please. Stop!",3
Nyx:Get back!,Nyx, Get back!,2
"Lunafreya:Please, don't leave us!",Lunafreya," Please, don't leave us!",4
King Regis:I know your mother would wish the same as me. That you and Noctis live happily. All those years captive because I failed you. Not again. Locked doors will seal your fate no longer.,King Regis, I know your mother would wish the same as me. That you and Noctis live happily. All those years captive because I failed you. Not again. Locked doors will seal your fate no longer.,34
Lunafreya:King Regis...,Lunafreya, King Regis...,2
"King Regis:Our hope goes with you now, Nyx Ulric. Godspeed.",King Regis," Our hope goes with you now, Nyx Ulric. Godspeed.",9
"General Glauca:Behold, the king of Lucis, who hoarded tranquility within his precious Walls. Where is your tranquility now, king? Here is your peace, by steel's swift descent.",General Glauca," Behold, the king of Lucis, who hoarded tranquility within his precious Walls. Where is your tranquility now, king? Here is your peace, by steel's swift descent.",26
Lunafreya:No! We must get away from here. It is what your king wanted.,Lunafreya, No! We must get away from here. It is what your king wanted.,13
"General Glauca:(over radio, as narration)Lady Lunafreya has escaped with the Ring. Find her at once. She is not to leave the city.",General Glauca," (over radio, as narration) Lady Lunafreya has escaped with the Ring. Find her at once. She is not to leave the city.",21
"Nyx:(into earpiece)Ulric to command. Come in, captain.",Nyx," (into earpiece) Ulric to command. Come in, captain.",7
"News Anchor:(on TV)Footage of the perpetrators was captured by a nearby surveillance camera. Here are images of the six suspects. One has been identified as Galahdian refugee, Libertus Ostium, a former member of the Lucian Kingsglaive.",News Anchor," (on TV) Footage of the perpetrators was captured by a nearby surveillance camera. Here are images of the six suspects. One has been identified as Galahdian refugee, Libertus Ostium, a former member of the Lucian Kingsglaive.",35
"Libertus:Hey, come here. Come here. I got you, I got you. You're all right. You're okay.",Libertus," Hey, come here. Come here. I got you, I got you. You're all right. You're okay.",16
Pruvia:It's fine. We're free. We're free now.,Pruvia, It's fine. We're free. We're free now.,7
"Libertus:We're free? What do you mean, ""we're free?""",Libertus," We're free? What do you mean, ""we're free?""",8
Pruvia:The Empire. They promised. This district is ours. All the refugees. It's our new home.,Pruvia, The Empire. They promised. This district is ours. All the refugees. It's our new home.,15
Libertus:The Empire? You went in with Niflheim?,Libertus, The Empire? You went in with Niflheim?,7
"Pruvia:Here. Take this. Meet up with the others. You're the hero of our revolution, brother.",Pruvia," Here. Take this. Meet up with the others. You're the hero of our revolution, brother.",15
Nyx:Damn it!,Nyx, Damn it!,2
Tredd:This guy just doesn't know when he's beat.,Tredd, This guy just doesn't know when he's beat.,8
Nyx:Can you drive?,Nyx, Can you drive?,3
Nyx:I'll be right back!,Nyx, I'll be right back!,4
"Tredd:No warping for you this time, hero.",Tredd," No warping for you this time, hero.",7
Nyx:Give me the wheel. Go!,Nyx, Give me the wheel. Go!,5
Lunafreya:You are without your magic.,Lunafreya, You are without your magic.,5
"Nyx:You noticed that, huh? It must have died with the king.",Nyx," You noticed that, huh? It must have died with the king.",11
"Petra:(over intercom)You're making a mess of my city, Glaive. I thought I told you not to go playing hero. Leave the ship to me. Looks like you got a royal fare to see to.",Petra," (over intercom) You're making a mess of my city, Glaive. I thought I told you not to go playing hero. Leave the ship to me. Looks like you got a royal fare to see to.",34
Nyx:Move it!,Nyx, Move it!,2
Nyx:Maybe not all miracles are made by magic.,Nyx, Maybe not all miracles are made by magic.,8
"Nyx:Oh, great.",Nyx," Oh, great.",2
Nyx:What the hell did you do to piss these things off?,Nyx, What the hell did you do to piss these things off?,11
Lunafreya:It's not me they're after. It's the Ring.,Lunafreya, It's not me they're after. It's the Ring.,8
Nyx:What's so special about this Ring? Don't tell me the future's really riding on it.,Nyx, What's so special about this Ring? Don't tell me the future's really riding on it.,15
Lunafreya:He who wears the Ring communes with the Lucii and commands great power.,Lunafreya, He who wears the Ring communes with the Lucii and commands great power.,13
Nyx:What kind of power?,Nyx, What kind of power?,4
Lunafreya:A forbidden one. Sealed within the Ring long ago.,Lunafreya, A forbidden one. Sealed within the Ring long ago.,9
Nyx:The Old Wall. I thought that was just a bedtime story.,Nyx, The Old Wall. I thought that was just a bedtime story.,11
Lunafreya:I can assure you it is not. But the Lucii grant their power only to those they deem worthy.,Lunafreya, I can assure you it is not. But the Lucii grant their power only to those they deem worthy.,19
"Nyx:So, that guy who tried it on back there, I guess he wasn't deemed worthy.",Nyx," So, that guy who tried it on back there, I guess he wasn't deemed worthy.",15
Lunafreya:That was my brother. These twelve years have changed Ravus. He is bound by the past and lost in his lust for power.,Lunafreya, That was my brother. These twelve years have changed Ravus. He is bound by the past and lost in his lust for power.,23
Nyx:How the hell did they find us?,Nyx, How the hell did they find us?,7
"Nyx:Your hairpin, they're tracking it. Give it to me.",Nyx," Your hairpin, they're tracking it. Give it to me.",9
Nyx:I had a little sister once. She was killed when the Empire came. I couldn't save her. I was as helpless then as I am now. I couldn't show her the future she wanted.,Nyx, I had a little sister once. She was killed when the Empire came. I couldn't save her. I was as helpless then as I am now. I couldn't show her the future she wanted.,34
Lunafreya:True power is not something that is found by those who seek it. It is something that comes to those who deserve it. Your sister wanted you to see a future as well. Anyone would wish the same for family they love.,Lunafreya, True power is not something that is found by those who seek it. It is something that comes to those who deserve it. Your sister wanted you to see a future as well. Anyone would wish the same for family they love.,42
"Nyx:You don't pull any punches, do you?",Nyx," You don't pull any punches, do you?",7
Nyx:I'm over here!,Nyx, I'm over here!,3
"Captain Drautos:(over radio)Do you hear me? Repeat, this is Drautos. Can you hear me? Over.",Captain Drautos," (over radio) Do you hear me? Repeat, this is Drautos. Can you hear me? Over.",14
"Nyx:Your timing's impeccable, captain. If the Lucii are real, they sure don't seem to mind their city getting torn apart.",Nyx," Your timing's impeccable, captain. If the Lucii are real, they sure don't seem to mind their city getting torn apart.",20
Captain Drautos:(over radio)You're to rendezvous and regroup. Understood?,Captain Drautos, (over radio) You're to rendezvous and regroup. Understood?,7
"Nyx:That might not be so easy, captain. My wings have been clipped, in case you didn't know.",Nyx," That might not be so easy, captain. My wings have been clipped, in case you didn't know.",17
Captain Drautos:(over radio)Ulric. Are you all right?,Captain Drautos, (over radio) Ulric. Are you all right?,6
"Nyx:I'm not dead, if that's what you mean, sir.",Nyx," I'm not dead, if that's what you mean, sir.",9
